address,baths,beds,cars,link,price,solddate,type
"18 Ustinov Crescent, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-120628241,"$655,500",07 Oct 2015,house
"8 Bening Pl, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-120871533,"$770,000",03 Oct 2015,house
"35 De Mille Street, McDowall", 1, 3, 1,/sold/property-house-qld-mcdowall-120685009,"$478,000",02 Oct 2015,house
"130 Streisand Drive, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-120318629,"$629,000",30 Sep 2015,house
"15/28 Keona Road, McDowall", 2, 3, 1,/sold/property-villa-qld-mcdowall-120414141,"$410,000",30 Sep 2015,villa
"21 Peppard Street, McDowall", 2, 4, 1,/sold/property-house-qld-mcdowall-120114281,"$550,000",29 Sep 2015,house
"26 Minnelli Place, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-120473473,"$495,000",28 Sep 2015,house
"12 Andress St, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-119568091,"$570,000",19 Sep 2015,house
"74 Minnelli Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-120599881,"$625,000",15 Sep 2015,house
"25/216 Trouts Road, McDowall", 2, 3, 1,/sold/property-townhouse-qld-mcdowall-119780835,"$410,000",14 Sep 2015,townhouse
"13 Culkin Pl, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-120686413,"$624,000",12 Sep 2015,house
"31 Sunset Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-120417281,"$563,000",11 Sep 2015,house
"78 Raven Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-120391713,"$660,000",10 Sep 2015,house
"85 Streisand Drive, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-120168557,"$618,000",09 Sep 2015,house
"20 Hoffman Street, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-119656787,"$485,000",31 Aug 2015,house
"82 De Mille Street, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-120407989,"$485,000",25 Aug 2015,house
"4 Huston Close, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-120404021,"$795,000",12 Aug 2015,house
"25 Ustinov Crescent, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-120162649,"$572,000",06 Aug 2015,house
"19/95 Beckett Road, McDowall", 2, 2, 1,/sold/property-apartment-qld-mcdowall-118563671,"$354,000",05 Aug 2015,apartment
"14 Hackman Street, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-120055229,"$620,000",04 Aug 2015,house
"24 Wyngarde St, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-120235933,"$570,000",04 Aug 2015,house
"1 Belafonte Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-119399343,"$598,000",31 Jul 2015,house
"7 De Vito Place, McDowall", 3, 6, 2,/sold/property-house-qld-mcdowall-119764671,"$733,000",30 Jul 2015,house
"7 Walpole Street, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-119922473,"$665,000",29 Jul 2015,house
"11 Osmond Street, McDowall", 1, 3, 1,/sold/property-house-qld-mcdowall-119370551,"$495,000",25 Jul 2015,house
"16 Cosby Place, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-120120509,"$683,000",24 Jul 2015,house
"16 Hoffman Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-120115885,"$510,000",24 Jul 2015,house
"28 Nicholas Street, McDowall", 3, 4, 3,/sold/property-house-qld-mcdowall-119895609,"$670,000",20 Jul 2015,house
"89 Paramount Circuit, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-119760579,"$618,000",17 Jul 2015,house
"7 Lazenby Street, McDowall", 4, 6, 4,/sold/property-house-qld-mcdowall-119447691,"$800,000",14 Jul 2015,house
"24 Van Dyke Cres, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-119983421,"$660,000",01 Jul 2015,house
"72 Beckett Rd, McDowall", 1, 3, 4,/sold/property-house-qld-mcdowall-119877277,"$455,000",22 Jun 2015,house
"25 Bening Place, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-119485123,"$732,000",19 Jun 2015,house
"9 Bixby Court, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-119642231,"$597,500",12 Jun 2015,house
"39 Beckett Road, McDowall", 2, 3, 3,/sold/property-house-qld-mcdowall-119794227,"$500,000",12 Jun 2015,house
"9/195 Old Northern Road, McDowall", 1, 3, 1,/sold/property-townhouse-qld-mcdowall-119814999,"$360,256",11 Jun 2015,townhouse
"21 Lazenby Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-119430083,"$602,500",09 Jun 2015,house
"6 Blake Close, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-119536831,"$805,000",25 May 2015,house
"Address available on request, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-119203503,"$652,500",13 May 2015,house
"25 Nicholas Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-119667691,"$620,000",12 May 2015,house
"44 Streisand Dr, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-119675735,"$660,000",02 May 2015,house
"23/28 Keona Road, McDowall", 2, 3, 2,/sold/property-townhouse-qld-mcdowall-119282035,"$420,000",01 May 2015,townhouse
"12 Bening Place, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-119518759,"$629,000",27 Apr 2015,house
"4 Goldwyn Street, McDowall", 2, 4, 3,/sold/property-house-qld-mcdowall-119171155,"$589,000",22 Apr 2015,house
"34 Minnelli Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-119212267,"$580,000",20 Apr 2015,house
"18 Pfeiffer Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-119107803,"$555,000",20 Apr 2015,house
"26 Redford Cres, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-118904855,"$790,000",07 Apr 2015,house
"7 Boulting Street, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-114695843,"$665,000",07 Apr 2015,house
"19 Calhoun Street, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-119118971,"$850,000",01 Apr 2015,house
"321 Trouts Road, McDowall", 2, 4, 4,/sold/property-house-qld-mcdowall-119030935,"$555,000",31 Mar 2015,house
"8 Wyngarde Street, McDowall", 2, 3, 3,/sold/property-house-qld-mcdowall-118539995,"$575,000",30 Mar 2015,house
"812 Hamilton Road, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-118536227,"$493,000",30 Mar 2015,house
"23 Sellers Place, McDowall", 3, 4, 3,/sold/property-house-qld-mcdowall-119063415,"$825,000",19 Mar 2015,house
"28 Hackman St, McDowall", 3, 5, 4,/sold/property-house-qld-mcdowall-118879171,"$879,000",16 Mar 2015,house
"2 Brando Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118785787,"$616,000",10 Mar 2015,house
"22 Ustinov Crescent, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-118499791,"$545,000",09 Mar 2015,house
"8 Streep Place, McDowall", 1, 2, 1,/sold/property-house-qld-mcdowall-118865295,"$475,000",09 Mar 2015,house
"23/195 Old Northern Road,, McDowall", 1, 2, 1,/sold/property-townhouse-qld-mcdowall-118237887,"$1,000,000",06 Mar 2015,townhouse
"14/28 Keona Road, McDowall", 2, 3, 2,/sold/property-townhouse-qld-mcdowall-118570123,"$405,000",03 Mar 2015,townhouse
"4 Marx St, McDowall", 2, 3, 0,/sold/property-house-qld-mcdowall-118542139,"$495,000",25 Feb 2015,house
"78 Streisand Drive, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-118806347,"$560,000",19 Feb 2015,house
"25 Tranquil Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118626715,"$662,000",17 Feb 2015,house
"Address available on request, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118807227,"$563,000",17 Feb 2015,house
"14 Harlow Place, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-118776523,"$932,500",16 Feb 2015,house
"17 Stallone Cct, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118229647,"$577,000",16 Feb 2015,house
"2 Goldwyn Street, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-118884199,"$565,000",16 Feb 2015,house
"3 Rigg Place, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-118912183,"$635,000",05 Feb 2015,house
"12 Seberg St, McDowall", 3, 3, 2,/sold/property-house-qld-mcdowall-118571075,"$583,801",30 Jan 2015,house
"19 Walpole Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-118298647,"$510,000",30 Jan 2015,house
"18 Karen Street, McDowall", 2, 3, 1,/sold/property-house-qld-mcdowall-118115315,"$410,000",30 Jan 2015,house
"101 Paramount Circuit, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118199283,"$550,000",23 Jan 2015,house
"3 Matthau Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-118497799,"$700,000",22 Jan 2015,house
"30 Lisa Street, McDowall", 2, 3, 1,/sold/property-townhouse-qld-mcdowall-117980791,"$406,000",22 Jan 2015,townhouse
"7 Janssen Street, McDowall", 2, 5, 0,/sold/property-house-qld-mcdowall-117268911,"$625,000",12 Jan 2015,house
"3 Ponti Street, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-118171467,"$547,500",06 Jan 2015,house
