address,baths,beds,cars,link,price,solddate,type
"Lot 5, 2 Wagtail Place, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201516422,"$420,000",25 May 2016,residential land
"1/10 Brooks Crescent, Diamond Creek", 1, 2, 0,/sold/property-unit-vic-diamond+creek-122552594,"$370,000",21 May 2016,unit
"1/4 Brooks Crescent, Diamond Creek", 1, 3, 1,/sold/property-house-vic-diamond+creek-122783278,"$495,000",18 May 2016,house
"100 Everleigh Drive (Lot 5), Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201342778,"$355,000",16 May 2016,residential land
"70 David Hockney Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-122009766,"$930,000",13 May 2016,house
"1 Happy Valley Rise, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-122542026,"$632,000",12 May 2016,house
"71 Oronsay Crescent, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-122424598,"$645,000",02 May 2016,house
"21 Lanvos Drive, Diamond Creek", 2, 3, 1,/sold/property-house-vic-diamond+creek-122325194,"$638,000",30 Apr 2016,house
"lot 48 Haversack Court, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201453150,"$420,000",27 Apr 2016,residential land
"14 Egan Street, Diamond Creek", 1, 3, 3,/sold/property-house-vic-diamond+creek-122289574,"$523,000",23 Apr 2016,house
